"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"SG_UF";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"SQ_CANDIDATO";"NR_ORDEM_REDE_SOCIAL";"DS_URL"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002054993;1;"https://www.instagram.com/kleberribeiroofc?igsh=bDI4NzdoZGt4bW5t"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150001925363;1;"https://www.instagram.com/gilvam_primeirissima/"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150001987034;2;"https://www.facebook.com/share/StM1mGUu5KVpPEyH/?mibextid=qi2Omg"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002138431;1;"https://www.instagram.com/gilvan.brito123?igsh=YzljYTk1ODg3Zg=="
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002136968;2;"https://www.instagram.com/carlos_augustodr/"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002124942;1;"https://www.instagram.com/diracorreia11333?igsh=dHY4Z3JvdHEwMjNs"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002141256;1;"https://www.instagram.com/mana_silveira?igsh=MWNtczByMXg5dTR1ZQ%3D%3D&utm_source"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002250026;1;"https://www.instagram.com/celis.andrade"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002181898;2;"https://www.instagram.com/danielmiguel_vereador?utm_source=qr&igsh=MTJzamJqdnFtM"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002178061;2;"https://www.facebook.com/adelson.carisse?mibextid=qi2Omg&rdid=oG8NglORxBSazaED&s"
"28/09/2024";"08:31:42";2024;"PB";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";150002123711;2;"https://www.facebook.com/profile.php?id=100009540126305&mibextid=LQQJ4d"
